"customer_id","film_id","genre","rental_day","rental_month","payment_day","payment_month","amount"
341,749,"Horror","15","6","15","2","7.99"
341,552,"Documentary","16","6","16","2","1.99"
341,551,"New","17","6","16","2","7.99"
341,445,"Classics","19","6","19","2","2.99"
341,563,"Games","20","6","20","2","7.99"
341,26,"Sci-Fi","21","6","21","2","5.99"
342,961,"Foreign","18","6","17","2","5.99"
342,527,"Horror","20","6","20","2","5.99"
342,449,"Sci-Fi","20","6","20","2","2.99"
343,639,"Family","16","6","16","2","4.99"
343,30,"Horror","16","6","16","2","6.99"
343,868,"Travel","17","6","17","2","0.99"
343,545,"Foreign","17","6","17","2","0.99"
343,16,"Foreign","18","6","18","2","6.99"
343,69,"Sci-Fi","20","6","20","2","8.99"
343,855,"Documentary","21","6","21","2","0.99"
344,738,"Foreign","15","6","15","2","3.99"
344,398,"Music","15","6","15","2","4.99"
344,809,"Sports","16","6","16","2","0.99"
345,1,"Documentary","15","6","15","2","0.99"
345,159,"Comedy","15","6","15","2","4.99"
345,436,"New","16","6","16","2","0.99"
345,749,"Horror","19","6","19","2","4.99"
346,476,"Family","17","6","17","2","5.99"
346,906,"Comedy","21","6","21","2","2.99"
346,857,"Comedy","21","6","21","2","2.99"
347,61,"Drama","16","6","16","2","8.99"
347,663,"Classics","18","6","18","2","0.99"
347,878,"Travel","20","6","20","2","4.99"
347,946,"Family","20","6","20","2","8.99"
347,229,"Action","21","6","21","2","7.99"
348,232,"Games","16","6","16","2","2.99"
348,170,"Foreign","17","6","17","2","8.99"
348,697,"Action","18","6","18","2","0.99"
349,835,"Games","15","6","15","2","2.99"
349,149,"Children","16","6","15","2","0.99"
349,334,"Horror","20","6","20","2","6.99"
349,680,"Comedy","20","6","20","2","8.99"
350,160,"Animation","17","6","17","2","3.99"
350,402,"Animation","19","6","19","2","0.99"
350,462,"Music","20","6","20","2","2.99"
350,475,"Horror","21","6","20","2","0.99"
351,832,"Family","16","6","16","2","5.99"
351,191,"Children","17","6","17","2","0.99"
351,150,"Documentary","19","6","19","2","2.99"
352,807,"Games","15","6","15","2","0.99"
352,86,"Music","16","6","16","2","4.99"
352,403,"Drama","16","6","16","2","4.99"
352,31,"Family","16","6","16","2","4.99"
352,640,"Foreign","21","6","21","2","4.99"
353,690,"Animation","15","6","15","2","2.99"
353,757,"Documentary","17","6","17","2","7.99"
353,774,"Comedy","21","6","21","2","6.99"
354,186,"Drama","15","6","15","2","0.99"
354,616,"Documentary","18","6","18","2","4.99"
354,271,"Action","19","6","19","2","6.99"
354,761,"Children","20","6","20","2","2.99"
355,241,"Animation","15","6","15","2","0.99"
355,664,"Action","16","6","16","2","2.99"
356,176,"Sports","15","6","15","2","0.99"
356,788,"Documentary","18","6","18","2","2.99"
356,207,"Foreign","18","6","18","2","4.99"
357,95,"New","15","6","15","2","5.99"
357,831,"Sci-Fi","16","6","16","2","1.99"
357,629,"Documentary","17","6","17","2","1.99"
357,532,"Sports","17","6","17","2","6.99"
358,474,"Sports","15","6","15","2","2.99"
358,89,"Animation","17","6","17","2","0.99"
358,774,"Comedy","17","6","17","2","5.99"
358,829,"Family","19","6","19","2","2.99"
358,337,"Foreign","19","6","19","2","2.99"
358,447,"Games","21","6","21","2","2.99"
359,255,"Music","15","6","15","2","4.99"
359,367,"Sci-Fi","16","6","16","2","1.99"
359,17,"Music","18","6","18","2","0.99"
359,985,"Sci-Fi","19","6","19","2","4.99"
360,901,"Animation","15","6","15","2","0.99"
360,621,"Family","18","6","18","2","6.99"
360,25,"New","19","6","19","2","3.99"
360,330,"Animation","19","6","19","2","6.99"
361,708,"Documentary","18","6","18","2","4.99"
361,641,"Foreign","19","6","19","2","1.99"
361,468,"Children","19","6","19","2","2.99"
361,344,"Children","21","6","21","2","2.99"
362,895,"Classics","15","6","15","2","2.99"
362,368,"Drama","16","6","15","2","2.99"
362,850,"Action","16","6","16","2","2.99"
362,393,"Documentary","21","6","20","2","2.99"
362,356,"Children","21","6","21","2","2.99"
363,964,"Action","15","6","15","2","4.99"
363,856,"Horror","16","6","16","2","4.99"
363,265,"Comedy","17","6","16","2","4.99"
363,938,"Comedy","19","6","19","2","4.99"
363,872,"Travel","21","6","21","2","2.99"
364,463,"Sports","16","6","16","2","2.99"
364,880,"Animation","18","6","18","2","2.99"
364,898,"Sports","19","6","19","2","4.99"
364,633,"Classics","19","6","19","2","4.99"
364,652,"Classics","20","6","20","2","3.99"
365,436,"New","15","6","15","2","1.99"
